A00;Kolera
V40.49;Oseba v avtomobilu, poškodovana pri trèenju s pešcem ali z živaljo, oseba, poškodovana med vstopanjem ali izstopanjem, neopredeljen avtomobil
V40.5;Oseba v avtomobilu, poškodovana pri trèenju s pešcem ali z živaljo, voznik, poškodovan v prometni nezgodi
V40.50;Oseba v avtomobilu, poškodovana pri trèenju s pešcem ali z živaljo, voznik, poškodovan v prometni nezgodi, limuzina (sedan)
V40.51;Oseba v avtomobilu, poškodovana pri trèenju s pešcem ali z živaljo, voznik, poškodovan v prometni nezgodi, terenski štirikolesnik
V40.52;Oseba v avtomobilu, poškodovana pri trèenju s pešcem ali z živaljo, voznik, poškodovan v prometni nezgodi, štirikolesno motorno vozilo
V40.53;Oseba v avtomobilu, poškodovana pri trèenju s pešcem ali z živaljo, voznik, poškodovan v prometni nezgodi, potniški kombi
V40.58;Oseba v avtomobilu, poškodovana pri trèenju s pešcem ali z živaljo, voznik, poškodovan v prometni nezgodi, drug opredeljen avtomobil
V40.59;Oseba v avtomobilu, poškodovana pri trèenju s pešcem ali z živaljo, voznik, poškodovan v prometni nezgodi, neopredeljen avtomobil
V40.6;Oseba v avtomobilu, poškodovana pri trèenju s pešcem ali z živaljo, potnik, poškodovan v prometni nezgodi
V40.60;Oseba v avtomobilu, poškodovana pri trèenju s pešcem ali z živaljo, potnik, poškodovan v prometni nezgodi, limuzina (sedan)
V40.61;Oseba v avtomobilu, poškodovana pri trèenju s pešcem ali z živaljo, potnik, poškodovan v prometni nezgodi, terenski štirikolesnik
V40.62;Oseba v avtomobilu, poškodovana pri trèenju s pešcem ali z živaljo, potnik, poškodovan v prometni nezgodi, štirikolesno motorno vozilo
V40.63;Oseba v avtomobilu, poškodovana pri trèenju s pešcem ali z živaljo, potnik, poškodovan v prometni nezgodi, potniški kombi
V40.68;Oseba v avtomobilu, poškodovana pri trèenju s pešcem ali z živaljo, potnik, poškodovan v prometni nezgodi, drug opredeljen avtomobil
V40.69;Oseba v avtomobilu, poškodovana pri trèenju s pešcem ali z živaljo, potnik, poškodovan v prometni nezgodi, neopredeljen avtomobil
V40.7;Oseba v avtomobilu, poškodovana pri trèenju s pešcem ali z živaljo, oseba na zunanji strani avtomobila, poškodovana v prometni nezgodi
V40.70;Oseba v avtomobilu, poškodovana pri trèenju s pešcem ali z živaljo, oseba na zunanji strani avtomobila, poškodovana v prometni nezgodi, limuzina (sedan)
V40.71;Oseba v avtomobilu, poškodovana pri trèenju s pešcem ali z živaljo, oseba na zunanji strani avtomobila, poškodovana v prometni nezgodi, terenski štirikolesnik
V40.72;Oseba v avtomobilu, poškodovana pri trèenju s pešcem ali z živaljo, oseba na zunanji strani avtomobila, poškodovana v prometni nezgodi, štirikolesno motorno vozilo
V40.73;Oseba v avtomobilu, poškodovana pri trèenju s pešcem ali z živaljo, oseba na zunanji strani avtomobila, poškodovana v prometni nezgodi, potniški kombi
V40.78;Oseba v avtomobilu, poškodovana pri trèenju s pešcem ali z živaljo, oseba na zunanji strani avtomobila, poškodovana v prometni nezgodi, drug opredeljen avtomobil
V40.79;Oseba v avtomobilu, poškodovana pri trèenju s pešcem ali z živaljo, oseba na zunanji strani avtomobila, poškodovana v prometni nezgodi, neopredeljen avtomobil
V40.9;Oseba v avtomobilu, poškodovana pri trèenju s pešcem ali z živaljo, neopredeljena oseba v avtomobilu, poškodovana v prometni nezgodi
V40.90;Oseba v avtomobilu, poškodovana pri trèenju s pešcem ali z živaljo, neopredeljena oseba v avtomobilu, poškodovana v prometni nezgodi, limuzina (sedan)
V40.91;Oseba v avtomobilu, poškodovana pri trèenju s pešcem ali z živaljo, neopredeljena oseba v avtomobilu, poškodovana v prometni nezgodi, terenski štirikolesnik
V40.92;Oseba v avtomobilu, poškodovana pri trèenju s pešcem ali z živaljo, neopredeljena oseba v avtomobilu, poškodovana v prometni nezgodi, štirikolesno motorno vozilo
V40.93;Oseba v avtomobilu, poškodovana pri trèenju s pešcem ali z živaljo, neopredeljena oseba v avtomobilu, poškodovana v prometni nezgodi, potniški kombi
V40.98;Oseba v avtomobilu, poškodovana pri trèenju s pešcem ali z živaljo, neopredeljena oseba v avtomobilu, poškodovana v prometni nezgodi, drug opredeljen avtomobil
V40.99;Oseba v avtomobilu, poškodovana pri trèenju s pešcem ali z živaljo, neopredeljena oseba v avtomobilu, poškodovana v prometni nezgodi, neopredeljen avtomobil
V41;Oseba v avtomobilu, poškodovana pri trèenju s kolesom
V41.0;Oseba v avtomobilu, poškodovana pri trèenju s kolesom, voznik, poškodovan v neprometni nezgodi
V41.00;Oseba v avtomobilu, poškodovana pri trèenju s kolesom, voznik, poškodovan v neprometni nezgodi, limuzina (sedan)
V41.01;Oseba v avtomobilu, poškodovana pri trèenju s kolesom, voznik, poškodovan v neprometni nezgodi, terenski štirikolesnik
V41.02;Oseba v avtomobilu, poškodovana pri trèenju s kolesom, voznik, poškodovan v neprometni nezgodi, štirikolesno motorno vozilo
V41.03;Oseba v avtomobilu, poškodovana pri trèenju s kolesom, voznik, poškodovan v neprometni nezgodi, potniški kombi
V41.08;Oseba v avtomobilu, poškodovana pri trèenju s kolesom, voznik, poškodovan v neprometni nezgodi, drug opredeljen avtomobil
V41.09;Oseba v avtomobilu, poškodovana pri trèenju s kolesom, voznik, poškodovan v neprometni nezgodi, neopredeljen avtomobil
V41.1;Oseba v avtomobilu, poškodovana pri trèenju s kolesom, potnik, poškodovan v neprometni nezgodi
V41.10;Oseba v avtomobilu, poškodovana pri trèenju s kolesom, potnik, poškodovan v neprometni nezgodi, limuzina (sedan)
V41.11;Oseba v avtomobilu, poškodovana pri trèenju s kolesom, potnik, poškodovan v neprometni nezgodi, terenski štirikolesnik
V41.12;Oseba v avtomobilu, poškodovana pri trèenju s kolesom, potnik, poškodovan v neprometni nezgodi, štirikolesno motorno vozilo
V41.13;Oseba v avtomobilu, poškodovana pri trèenju s kolesom, potnik, poškodovan v neprometni nezgodi, potniški kombi
V41.18;Oseba v avtomobilu, poškodovana pri trèenju s kolesom, potnik, poškodovan v neprometni nezgodi, drug opredeljen avtomobil
V41.19;Oseba v avtomobilu, poškodovana pri trèenju s kolesom, potnik, poškodovan v neprometni nezgodi, neopredeljen avtomobil
V41.2;Oseba v avtomobilu, poškodovana pri trèenju s kolesom, oseba na zunanji strani avtomobila, poškodovana v neprometni nezgodi
V41.20;Oseba v avtomobilu, poškodovana pri trèenju s kolesom, oseba na zunanji strani avtomobila, poškodovana v neprometni nezgodi, limuzina (sedan)
V41.21;Oseba v avtomobilu, poškodovana pri trèenju s kolesom, oseba na zunanji strani avtomobila, poškodovana v neprometni nezgodi, terenski štirikolesnik
V41.22;Oseba v avtomobilu, poškodovana pri trèenju s kolesom, oseba na zunanji strani avtomobila, poškodovana v neprometni nezgodi, štirikolesno motorno vozilo
V41.23;Oseba v avtomobilu, poškodovana pri trèenju s kolesom, oseba na zunanji strani avtomobila, poškodovana v neprometni nezgodi, potniški kombi
V41.28;Oseba v avtomobilu, poškodovana pri trèenju s kolesom, oseba na zunanji strani avtomobila, poškodovana v neprometni nezgodi, drug opredeljen avtomobil
V41.29;Oseba v avtomobilu, poškodovana pri trèenju s kolesom, oseba na zunanji strani avtomobila, poškodovana v neprometni nezgodi, neopredeljen avtomobil
V41.3;Oseba v avtomobilu, poškodovana pri trèenju s kolesom, neopredeljena oseba v avtomobilu, poškodovana v neprometni nezgodi
V41.30;Oseba v avtomobilu, poškodovana pri trèenju s kolesom, neopredeljena oseba v avtomobilu, poškodovana v neprometni nezgodi, limuzina (sedan)
V41.31;Oseba v avtomobilu, poškodovana pri trèenju s kolesom, neopredeljena oseba v avtomobilu, poškodovana v neprometni nezgodi, terenski štirikolesnik
V41.32;Oseba v avtomobilu, poškodovana pri trèenju s kolesom, neopredeljena oseba v avtomobilu, poškodovana v neprometni nezgodi, štirikolesno motorno vozilo
V41.33;Oseba v avtomobilu, poškodovana pri trèenju s kolesom, neopredeljena oseba v avtomobilu, poškodovana v neprometni nezgodi, potniški kombi
V41.38;Oseba v avtomobilu, poškodovana pri trèenju s kolesom, neopredeljena oseba v avtomobilu, poškodovana v neprometni nezgodi, drug opredeljen avtomobil
V41.39;Oseba v avtomobilu, poškodovana pri trèenju s kolesom, neopredeljena oseba v avtomobilu, poškodovana v neprometni nezgodi, neopredeljen avtomobil
V41.4;Oseba v avtomobilu, poškodovana pri trèenju s kolesom, oseba, poškodovana med vstopanjem ali izstopanjem
V41.40;Oseba v avtomobilu, poškodovana pri trèenju s kolesom, oseba, poškodovana med vstopanjem ali izstopanjem, limuzina (sedan)
V41.41;Oseba v avtomobilu, poškodovana pri trèenju s kolesom, oseba, poškodovana med vstopanjem ali izstopanjem, terenski štirikolesnik
V41.42;Oseba v avtomobilu, poškodovana pri trèenju s kolesom, oseba, poškodovana med vstopanjem ali izstopanjem, štirikolesno motorno vozilo
V41.43;Oseba v avtomobilu, poškodovana pri trèenju s kolesom, oseba, poškodovana med vstopanjem ali izstopanjem, potniški kombi
V41.48;Oseba v avtomobilu, poškodovana pri trèenju s kolesom, oseba, poškodovana med vstopanjem ali izstopanjem, drug opredeljen avtomobil
V41.49;Oseba v avtomobilu, poškodovana pri trèenju s kolesom, oseba, poškodovana med vstopanjem ali izstopanjem, neopredeljen avtomobil
V41.5;Oseba v avtomobilu, poškodovana pri trèenju s kolesom, voznik, poškodovan v prometni nezgodi
V41.50;Oseba v avtomobilu, poškodovana pri trèenju s kolesom, voznik, poškodovan v prometni nezgodi, limuzina (sedan)
V41.51;Oseba v avtomobilu, poškodovana pri trèenju s kolesom, voznik, poškodovan v prometni nezgodi, terenski štirikolesnik
V41.52;Oseba v avtomobilu, poškodovana pri trèenju s kolesom, voznik, poškodovan v prometni nezgodi, štirikolesno motorno vozilo
V41.53;Oseba v avtomobilu, poškodovana pri trèenju s kolesom, voznik, poškodovan v prometni nezgodi, potniški kombi
V41.58;Oseba v avtomobilu, poškodovana pri trèenju s kolesom, voznik, poškodovan v prometni nezgodi, drug opredeljen avtomobil
V41.59;Oseba v avtomobilu, poškodovana pri trèenju s kolesom, voznik, poškodovan v prometni nezgodi, neopredeljen avtomobil
V41.6;Oseba v avtomobilu, poškodovana pri trèenju s kolesom, potnik, poškodovan v prometni nezgodi
V41.60;Oseba v avtomobilu, poškodovana pri trèenju s kolesom, potnik, poškodovan v prometni nezgodi, limuzina (sedan)
V41.61;Oseba v avtomobilu, poškodovana pri trèenju s kolesom, potnik, poškodovan v prometni nezgodi, terenski štirikolesnik
V41.62;Oseba v avtomobilu, poškodovana pri trèenju s kolesom, potnik, poškodovan v prometni nezgodi, štirikolesno motorno vozilo
V41.63;Oseba v avtomobilu, poškodovana pri trèenju s kolesom, potnik, poškodovan v prometni nezgodi, potniški kombi
V41.68;Oseba v avtomobilu, poškodovana pri trèenju s kolesom, potnik, poškodovan v prometni nezgodi, drug opredeljen avtomobil
V41.69;Oseba v avtomobilu, poškodovana pri trèenju s kolesom, potnik, poškodovan v prometni nezgodi, neopredeljen avtomobil
V41.7;Oseba v avtomobilu, poškodovana pri trèenju s kolesom, oseba na zunanji strani avtomobila, poškodovana v prometni nezgodi
V41.70;Oseba v avtomobilu, poškodovana pri trèenju s kolesom, oseba na zunanji strani avtomobila, poškodovana v prometni nezgodi, limuzina (sedan)
V41.71;Oseba v avtomobilu, poškodovana pri trèenju s kolesom, oseba na zunanji strani avtomobila, poškodovana v prometni nezgodi, terenski štirikolesnik
V41.72;Oseba v avtomobilu, poškodovana pri trèenju s kolesom, oseba na zunanji strani avtomobila, poškodovana v prometni nezgodi, štirikolesno motorno vozilo
V41.73;Oseba v avtomobilu, poškodovana pri trèenju s kolesom, oseba na zunanji strani avtomobila, poškodovana v prometni nezgodi, potniški kombi
V41.78;Oseba v avtomobilu, poškodovana pri trèenju s kolesom, oseba na zunanji strani avtomobila, poškodovana v prometni nezgodi, drug opredeljen avtomobil
V41.79;Oseba v avtomobilu, poškodovana pri trèenju s kolesom, oseba na zunanji strani avtomobila, poškodovana v prometni nezgodi, neopredeljen avtomobil
V41.9;Oseba v avtomobilu, poškodovana pri trèenju s kolesom, neopredeljena oseba v avtomobilu, poškodovana v prometni nezgodi
V41.90;Oseba v avtomobilu, poškodovana pri trèenju s kolesom, neopredeljena oseba v avtomobilu, poškodovana v prometni nezgodi, limuzina (sedan)
V41.91;Oseba v avtomobilu, poškodovana pri trèenju s kolesom, neopredeljena oseba v avtomobilu, poškodovana v prometni nezgodi, terenski štirikolesnik
V41.92;Oseba v avtomobilu, poškodovana pri trèenju s kolesom, neopredeljena oseba v avtomobilu, poškodovana v prometni nezgodi, štirikolesno motorno vozilo
V41.93;Oseba v avtomobilu, poškodovana pri trèenju s kolesom, neopredeljena oseba v avtomobilu, poškodovana v prometni nezgodi, potniški kombi
V41.98;Oseba v avtomobilu, poškodovana pri trèenju s kolesom, neopredeljena oseba v avtomobilu, poškodovana v prometni nezgodi, drug opredeljen avtomobil
V41.99;Oseba v avtomobilu, poškodovana pri trèenju s kolesom, neopredeljena oseba v avtomobilu, poškodovana v prometni nezgodi, neopredeljen avtomobil
V42;Oseba v avtomobilu, poškodovana pri trèenju z dvo- ali s trokolesnim motornim vozilom
V42.0;Oseba v avtomobilu, poškodovana pri trèenju z dvo- ali s trokolesnim motornim vozilom, voznik, poškodovan v neprometni nezgodi
V42.00;Oseba v avtomobilu, poškodovana pri trèenju z dvo- ali s trokolesnim motornim vozilom, voznik, poškodovan v neprometni nezgodi, limuzina (sedan)
V42.01;Oseba v avtomobilu, poškodovana pri trèenju z dvo- ali s trokolesnim motornim vozilom, voznik, poškodovan v neprometni nezgodi, terenski štirikolesnik
V42.02;Oseba v avtomobilu, poškodovana pri trèenju z dvo- ali s trokolesnim motornim vozilom, voznik, poškodovan v neprometni nezgodi, štirikolesno motorno vozilo
V42.03;Oseba v avtomobilu, poškodovana pri trèenju z dvo- ali s trokolesnim motornim vozilom, voznik, poškodovan v neprometni nezgodi, potniški kombi
V42.08;Oseba v avtomobilu, poškodovana pri trèenju z dvo- ali s trokolesnim motornim vozilom, voznik, poškodovan v neprometni nezgodi, drug opredeljen avtomobil
V42.09;Oseba v avtomobilu, poškodovana pri trèenju z dvo- ali s trokolesnim motornim vozilom, voznik, poškodovan v neprometni nezgodi, neopredeljen avtomobil
V42.1;Oseba v avtomobilu, poškodovana pri trèenju z dvo- ali s trokolesnim motornim vozilom, potnik, poškodovan v neprometni nezgodi
V42.10;Oseba v avtomobilu, poškodovana pri trèenju z dvo- ali s trokolesnim motornim vozilom, potnik, poškodovan v neprometni nezgodi, limuzina (sedan)
V42.11;Oseba v avtomobilu, poškodovana pri trèenju z dvo- ali s trokolesnim motornim vozilom, potnik, poškodovan v neprometni nezgodi, terenski štirikolesnik
V42.12;Oseba v avtomobilu, poškodovana pri trèenju z dvo- ali s trokolesnim motornim vozilom, potnik, poškodovan v neprometni nezgodi, štirikolesno motorno vozilo
V42.13;Oseba v avtomobilu, poškodovana pri trèenju z dvo- ali s trokolesnim motornim vozilom, potnik, poškodovan v neprometni nezgodi, potniški kombi
V42.18;Oseba v avtomobilu, poškodovana pri trèenju z dvo- ali s trokolesnim motornim vozilom, potnik, poškodovan v neprometni nezgodi, drug opredeljen avtomobil
V42.19;Oseba v avtomobilu, poškodovana pri trèenju z dvo- ali s trokolesnim motornim vozilom, potnik, poškodovan v neprometni nezgodi, neopredeljen avtomobil
V42.2;Oseba v avtomobilu, poškodovana pri trèenju z dvo- ali s trokolesnim motornim vozilom, oseba na zunanji strani avtomobila, poškodovana v neprometni nezgodi
V42.20;Oseba v avtomobilu, poškodovana pri trèenju z dvo- ali s trokolesnim motornim vozilom, oseba na zunanji strani avtomobila, poškodovana v neprometni nezgodi, limuzina (sedan)
V42.21;Oseba v avtomobilu, poškodovana pri trèenju z dvo- ali s trokolesnim motornim vozilom, oseba na zunanji strani avtomobila, poškodovana v neprometni nezgodi, terenski štirikolesnik
V42.22;Oseba v avtomobilu, poškodovana pri trèenju z dvo- ali s trokolesnim motornim vozilom, oseba na zunanji strani avtomobila, poškodovana v neprometni nezgodi, štirikolesno motorno vozilo
V42.23;Oseba v avtomobilu, poškodovana pri trèenju z dvo- ali s trokolesnim motornim vozilom, oseba na zunanji strani avtomobila, poškodovana v neprometni nezgodi, potniški kombi
V42.28;Oseba v avtomobilu, poškodovana pri trèenju z dvo- ali s trokolesnim motornim vozilom, oseba na zunanji strani avtomobila, poškodovana v neprometni nezgodi, drug opredeljen avtomobil
V42.29;Oseba v avtomobilu, poškodovana pri trèenju z dvo- ali s trokolesnim motornim vozilom, oseba na zunanji strani avtomobila, poškodovana v neprometni nezgodi, neopredeljen avtomobil
V42.3;Oseba v avtomobilu, poškodovana pri trèenju z dvo- ali s trokolesnim motornim vozilom, neopredeljena oseba v avtomobilu, poškodovana v neprometni nezgodi
V42.30;Oseba v avtomobilu, poškodovana pri trèenju z dvo- ali s trokolesnim motornim vozilom, neopredeljena oseba v avtomobilu, poškodovana v neprometni nezgodi, limuzina (sedan)
V42.31;Oseba v avtomobilu, poškodovana pri trèenju z dvo- ali s trokolesnim motornim vozilom, neopredeljena oseba v avtomobilu, poškodovana v neprometni nezgodi, terenski štirikolesnik
V42.32;Oseba v avtomobilu, poškodovana pri trèenju z dvo- ali s trokolesnim motornim vozilom, neopredeljena oseba v avtomobilu, poškodovana v neprometni nezgodi, štirikolesno motorno vozilo
V42.33;Oseba v avtomobilu, poškodovana pri trèenju z dvo- ali s trokolesnim motornim vozilom, neopredeljena oseba v avtomobilu, poškodovana v neprometni nezgodi, potniški kombi
V42.38;Oseba v avtomobilu, poškodovana pri trèenju z dvo- ali s trokolesnim motornim vozilom, neopredeljena oseba v avtomobilu, poškodovana v neprometni nezgodi, drug opredeljen avtomobil
V42.39;Oseba v avtomobilu, poškodovana pri trèenju z dvo- ali s trokolesnim motornim vozilom, neopredeljena oseba v avtomobilu, poškodovana v neprometni nezgodi, neopredeljen avtomobil
V42.4;Oseba v avtomobilu, poškodovana pri trèenju z dvo- ali s trokolesnim motornim vozilom, oseba, poškodovana med vstopanjem ali izstopanjem
V42.40;Oseba v avtomobilu, poškodovana pri trèenju z dvo- ali s trokolesnim motornim vozilom, oseba, poškodovana med vstopanjem ali izstopanjem, limuzina (sedan)
V42.41;Oseba v avtomobilu, poškodovana pri trèenju z dvo- ali s trokolesnim motornim vozilom, oseba, poškodovana med vstopanjem ali izstopanjem, terenski štirikolesnik
V42.42;Oseba v avtomobilu, poškodovana pri trèenju z dvo- ali s trokolesnim motornim vozilom, oseba, poškodovana med vstopanjem ali izstopanjem, štirikolesno motorno vozilo
V42.43;Oseba v avtomobilu, poškodovana pri trèenju z dvo- ali s trokolesnim motornim vozilom, oseba, poškodovana med vstopanjem ali izstopanjem, potniški kombi
V42.48;Oseba v avtomobilu, poškodovana pri trèenju z dvo- ali s trokolesnim motornim vozilom, oseba, poškodovana med vstopanjem ali izstopanjem, drug opredeljen avtomobil
V42.49;Oseba v avtomobilu, poškodovana pri trèenju z dvo- ali s trokolesnim motornim vozilom, oseba, poškodovana med vstopanjem ali izstopanjem, neopredeljen avtomobil
V42.5;Oseba v avtomobilu, poškodovana pri trèenju z dvo- ali s trokolesnim motornim vozilom, voznik, poškodovan v prometni nezgodi
V42.50;Oseba v avtomobilu, poškodovana pri trèenju z dvo- ali s trokolesnim motornim vozilom, voznik, poškodovan v prometni nezgodi, limuzina (sedan)
V42.51;Oseba v avtomobilu, poškodovana pri trèenju z dvo- ali s trokolesnim motornim vozilom, voznik, poškodovan v prometni nezgodi, terenski štirikolesnik
V42.52;Oseba v avtomobilu, poškodovana pri trèenju z dvo- ali s trokolesnim motornim vozilom, voznik, poškodovan v prometni nezgodi, štirikolesno motorno vozilo
V42.53;Oseba v avtomobilu, poškodovana pri trèenju z dvo- ali s trokolesnim motornim vozilom, voznik, poškodovan v prometni nezgodi, potniški kombi
V42.58;Oseba v avtomobilu, poškodovana pri trèenju z dvo- ali s trokolesnim motornim vozilom, voznik, poškodovan v prometni nezgodi, drug opredeljen avtomobil
V42.59;Oseba v avtomobilu, poškodovana pri trèenju z dvo- ali s trokolesnim motornim vozilom, voznik, poškodovan v prometni nezgodi, neopredeljen avtomobil
V42.6;Oseba v avtomobilu, poškodovana pri trèenju z dvo- ali s trokolesnim motornim vozilom, potnik, poškodovan v prometni nezgodi
V42.60;Oseba v avtomobilu, poškodovana pri trèenju z dvo- ali s trokolesnim motornim vozilom, potnik, poškodovan v prometni nezgodi, limuzina (sedan)
V42.61;Oseba v avtomobilu, poškodovana pri trèenju z dvo- ali s trokolesnim motornim vozilom, potnik, poškodovan v prometni nezgodi, terenski štirikolesnik
V42.62;Oseba v avtomobilu, poškodovana pri trèenju z dvo- ali s trokolesnim motornim vozilom, potnik, poškodovan v prometni nezgodi, štirikolesno motorno vozilo
V42.63;Oseba v avtomobilu, poškodovana pri trèenju z dvo- ali s trokolesnim motornim vozilom, potnik, poškodovan v prometni nezgodi, potniški kombi
V42.68;Oseba v avtomobilu, poškodovana pri trèenju z dvo- ali s trokolesnim motornim vozilom, potnik, poškodovan v prometni nezgodi, drug opredeljen avtomobil
V42.69;Oseba v avtomobilu, poškodovana pri trèenju z dvo- ali s trokolesnim motornim vozilom, potnik, poškodovan v prometni nezgodi, neopredeljen avtomobil
V42.7;Oseba v avtomobilu, poškodovana pri trèenju z dvo- ali s trokolesnim motornim vozilom, oseba na zunanji strani avtomobila, poškodovana v prometni nezgodi
V42.70;Oseba v avtomobilu, poškodovana pri trèenju z dvo- ali s trokolesnim motornim vozilom, oseba na zunanji strani avtomobila, poškodovana v prometni nezgodi, limuzina (sedan)
V42.71;Oseba v avtomobilu, poškodovana pri trèenju z dvo- ali s trokolesnim motornim vozilom, oseba na zunanji strani avtomobila, poškodovana v prometni nezgodi, terenski štirikolesnik
V42.72;Oseba v avtomobilu, poškodovana pri trèenju z dvo- ali s trokolesnim motornim vozilom, oseba na zunanji strani avtomobila, poškodovana v prometni nezgodi, štirikolesno motorno vozilo
V42.73;Oseba v avtomobilu, poškodovana pri trèenju z dvo- ali s trokolesnim motornim vozilom, oseba na zunanji strani avtomobila, poškodovana v prometni nezgodi, potniški kombi
V42.78;Oseba v avtomobilu, poškodovana pri trèenju z dvo- ali s trokolesnim motornim vozilom, oseba na zunanji strani avtomobila, poškodovana v prometni nezgodi, drug opredeljen avtomobil
V42.79;Oseba v avtomobilu, poškodovana pri trèenju z dvo- ali s trokolesnim motornim vozilom, oseba na zunanji strani avtomobila, poškodovana v prometni nezgodi, neopredeljen avtomobil
V42.9;Oseba v avtomobilu, poškodovana pri trèenju z dvo- ali s trokolesnim motornim vozilom, neopredeljena oseba v avtomobilu, poškodovana v prometni nezgodi
V42.90;Oseba v avtomobilu, poškodovana pri trèenju z dvo- ali s trokolesnim motornim vozilom, neopredeljena oseba v avtomobilu, poškodovana v prometni nezgodi, limuzina (sedan)
V42.91;Oseba v avtomobilu, poškodovana pri trèenju z dvo- ali s trokolesnim motornim vozilom, neopredeljena oseba v avtomobilu, poškodovana v prometni nezgodi, terenski štirikolesnik
V42.92;Oseba v avtomobilu, poškodovana pri trèenju z dvo- ali s trokolesnim motornim vozilom, neopredeljena oseba v avtomobilu, poškodovana v prometni nezgodi, štirikolesno motorno vozilo
V42.93;Oseba v avtomobilu, poškodovana pri trèenju z dvo- ali s trokolesnim motornim vozilom, neopredeljena oseba v avtomobilu, poškodovana v prometni nezgodi, potniški kombi
V42.98;Oseba v avtomobilu, poškodovana pri trèenju z dvo- ali s trokolesnim motornim vozilom, neopredeljena oseba v avtomobilu, poškodovana v prometni nezgodi, drug opredeljen avtomobil
V42.99;Oseba v avtomobilu, poškodovana pri trèenju z dvo- ali s trokolesnim motornim vozilom, neopredeljena oseba v avtomobilu, poškodovana v prometni nezgodi, neopredeljen avtomobil
V43;Oseba v avtomobilu, poškodovana pri trèenju z avtomobilom, s poltovornjakom ali kombijem
V43.0;Oseba v avtomobilu, poškodovana pri trèenju z avtomobilom, s poltovornjakom ali kombijem, voznik, poškodovan v neprometni nezgodi
V43.00;Oseba v avtomobilu, poškodovana pri trèenju z avtomobilom, s poltovornjakom ali kombijem, voznik, poškodovan v neprometni nezgodi, limuzina (sedan)
V43.01;Oseba v avtomobilu, poškodovana pri trèenju z avtomobilom, s poltovornjakom ali kombijem, voznik, poškodovan v neprometni nezgodi, terenski štirikolesnik
V43.02;Oseba v avtomobilu, poškodovana pri trèenju z avtomobilom, s poltovornjakom ali kombijem, voznik, poškodovan v neprometni nezgodi, štirikolesno motorno vozilo
V43.03;Oseba v avtomobilu, poškodovana pri trèenju z avtomobilom, s poltovornjakom ali kombijem, voznik, poškodovan v neprometni nezgodi, potniški kombi
V43.08;Oseba v avtomobilu, poškodovana pri trèenju z avtomobilom, s poltovornjakom ali kombijem, voznik, poškodovan v neprometni nezgodi, drug opredeljen avtomobil
V43.09;Oseba v avtomobilu, poškodovana pri trèenju z avtomobilom, s poltovornjakom ali kombijem, voznik, poškodovan v neprometni nezgodi, neopredeljen avtomobil
V43.1;Oseba v avtomobilu, poškodovana pri trèenju z avtomobilom, s poltovornjakom ali kombijem, potnik, poškodovan v neprometni nezgodi
V43.10;Oseba v avtomobilu, poškodovana pri trèenju z avtomobilom, s poltovornjakom ali kombijem, potnik, poškodovan v neprometni nezgodi, limuzina (sedan)
V43.11;Oseba v avtomobilu, poškodovana pri trèenju z avtomobilom, s poltovornjakom ali kombijem, potnik, poškodovan v neprometni nezgodi, terenski štirikolesnik
V43.12;Oseba v avtomobilu, poškodovana pri trèenju z avtomobilom, s poltovornjakom ali kombijem, potnik, poškodovan v neprometni nezgodi, štirikolesno motorno vozilo
V43.13;Oseba v avtomobilu, poškodovana pri trèenju z avtomobilom, s poltovornjakom ali kombijem, potnik, poškodovan v neprometni nezgodi, potniški kombi
V43.18;Oseba v avtomobilu, poškodovana pri trèenju z avtomobilom, s poltovornjakom ali kombijem, potnik, poškodovan v neprometni nezgodi, drug opredeljen avtomobil
V43.19;Oseba v avtomobilu, poškodovana pri trèenju z avtomobilom, s poltovornjakom ali kombijem, potnik, poškodovan v neprometni nezgodi, neopredeljen avtomobil
V43.2;Oseba v avtomobilu, poškodovana pri trèenju z avtomobilom, s poltovornjakom ali kombijem, oseba na zunanji strani avtomobila, poškodovana v neprometni nezgodi
V43.20;Oseba v avtomobilu, poškodovana pri trèenju z avtomobilom, s poltovornjakom ali kombijem, oseba na zunanji strani avtomobila, poškodovana v neprometni nezgodi, limuzina (sedan)
V43.21;Oseba v avtomobilu, poškodovana pri trèenju z avtomobilom, s poltovornjakom ali kombijem, oseba na zunanji strani avtomobila, poškodovana v neprometni nezgodi, terenski štirikolesnik
V43.22;Oseba v avtomobilu, poškodovana pri trèenju z avtomobilom, s poltovornjakom ali kombijem, oseba na zunanji strani avtomobila, poškodovana v neprometni nezgodi, štirikolesno motorno vozilo
V43.23;Oseba v avtomobilu, poškodovana pri trèenju z avtomobilom, s poltovornjakom ali kombijem, oseba na zunanji strani avtomobila, poškodovana v neprometni nezgodi, potniški kombi
V43.28;Oseba v avtomobilu, poškodovana pri trèenju z avtomobilom, s poltovornjakom ali kombijem, oseba na zunanji strani avtomobila, poškodovana v neprometni nezgodi, drug opredeljen avtomobil
V43.29;Oseba v avtomobilu, poškodovana pri trèenju z avtomobilom, s poltovornjakom ali kombijem, oseba na zunanji strani avtomobila, poškodovana v neprometni nezgodi, neopredeljen avtomobil
V43.3;Oseba v avtomobilu, poškodovana pri trèenju z avtomobilom, s poltovornjakom ali kombijem, neopredeljena oseba v avtomobilu, poškodovana v neprometni nezgodi
